Numero;Nome;Geracao
152;Chikorita;2ª
153;Bayleef;2ª
154;Meganium;2ª
155;Cyndaquil;2ª
156;Quilava;2ª
157;Typhlosion;2ª
158;Totodile;2ª
159;Croconaw;2ª
160;Feraligatr;2ª
161;Sentret;2ª
162;Furret;2ª
163;Hoothoot;2ª
164;Noctowl;2ª
165;Ledyba;2ª
166;Ledian;2ª
167;Spinarak;2ª
168;Ariados;2ª
169;Crobat;2ª
170;Chinchou;2ª
171;Lanturn;2ª
172;Pichu;2ª
173;Cleffa;2ª
174;Igglybuff;2ª
175;Togepi;2ª
176;Togetic;2ª
177;Natu;2ª
178;Xatu;2ª
179;Mareep;2ª
180;Flaaffy;2ª
181;Ampharos;2ª
182;Bellossom;2ª
183;Marill;2ª
184;Azumarill;2ª
185;Sudowoodo;2ª
186;Politoed;2ª
187;Hoppip;2ª
188;Skiploom;2ª
189;Jumpluff;2ª
190;Aipom;2ª
191;Sunkern;2ª
192;Sunflora;2ª
193;Yanma;2ª
194;Wooper;2ª
195;Quagsire;2ª
196;Espeon;2ª
197;Umbreon;2ª
198;Murkrow;2ª
199;Slowking;2ª
200;Misdreavus;2ª
201;Unown;2ª
202;Wobbuffet;2ª
203;Girafarig;2ª
204;Pineco;2ª
205;Forretress;2ª
206;Dunsparce;2ª
207;Gligar;2ª
208;Steelix;2ª
209;Snubbull;2ª
210;Granbull;2ª
211;Qwilfish;2ª
212;Scizor;2ª
213;Shuckle;2ª
214;Heracross;2ª
215;Sneasel;2ª
216;Teddiursa;2ª
217;Ursaring;2ª
218;Slugma;2ª
219;Magcargo;2ª
220;Swinub;2ª
221;Piloswine;2ª
222;Corsola;2ª
223;Remoraid;2ª
224;Octillery;2ª
225;Delibird;2ª
226;Mantine;2ª
227;Skarmory;2ª
228;Houndour;2ª
229;Houndoom;2ª
230;Kingdra;2ª
231;Phanpy;2ª
232;Donphan;2ª
233;Porygon2;2ª
234;Stantler;2ª
235;Smeargle;2ª
236;Tyrogue;2ª
237;Hitmontop;2ª
238;Smoochum;2ª
239;Elekid;2ª
240;Magby;2ª
241;Miltank;2ª
242;Blissey;2ª
243;Raikou;2ª
244;Entei;2ª
245;Suicune;2ª
246;Larvitar;2ª
247;Pupitar;2ª
248;Tyranitar;2ª
249;Lugia;2ª
250;Ho-Oh;2ª
251;Celebi;2ª
