Numero;Nome;Cor;OvoTipo1;OvoTipo2;Tipo1;Tipo2;Tamanho;Peso;Lendario;Mistico
722;Rowlet;marrom;voador;;grama;voador;0,3;1,5;F;F
723;Dartrix;marrom;voador;;grama;voador;0,7;16;F;F
724;Decidueye;marrom;voador;;grama;fantasma;1,6;36,6;F;F
725;Litten;vermelho;campo;;fogo;;0,4;4,3;F;F
726;Torracat;vermelho;campo;;fogo;;0,7;25;F;F
727;Incineroar;vermelho;campo;;fogo;sombrio;1,8;83;F;F
728;Popplio;azul;agua_1;campo;agua;;0,4;7,5;F;F
729;Brionne;azul;agua_1;campo;agua;;0,6;17,5;F;F
730;Primarina;azul;agua_1;campo;agua;fada;1,8;44;F;F
731;Pikipek;preto;voador;;normal;voador;0,3;1,2;F;F
732;Trumbeak;preto;voador;;normal;voador;0,6;14,8;F;F
733;Toucannon;preto;voador;;normal;voador;1,1;26;F;F
734;Yungoos;marrom;campo;;normal;;0,4;6;F;F
735;Gumshoos;marrom;campo;;normal;;0,7;14,2;F;F
736;Grubbin;cinza;inseto;;inseto;;0,4;4,4;F;F
737;Charjainseto;verde;inseto;;inseto;elétrico;0,5;10,5;F;F
738;Vikavolt;azul;inseto;;inseto;elétrico;1,5;45;F;F
739;Crabrawler;roxo;agua_3;;lutador;;0,6;7;F;F
740;Crabominable;branco;agua_3;;lutador;gelo;1,7;180;F;F
741;Oricorio;vermelho;voador;;fogo;voador;0,6;3,4;F;F
742;Cutiefly;amarelo;inseto;voador;inseto;fada;0,1;0,2;F;F
743;Ribombee;amarelo;inseto;voador;inseto;fada;0,2;0,5;F;F
744;Rockruff;marrom;campo;;pedra;;0,5;9,2;F;F
745;Lycanroc;marrom;campo;;pedra;;0,8;25;F;F
746;Wishiwashi;azul;agua_2;;agua;;0,2;0,3;F;F
747;Mareanie;azul;agua_1;;veneno;agua;0,4;8;F;F
748;Toxapex;azul;agua_1;;veneno;agua;0,7;14,5;F;F
749;Mudbray;marrom;campo;;terra;;1;110;F;F
750;Mudsdale;marrom;campo;;terra;;2,5;920;F;F
751;Dewpider;verde;agua_1;inseto;agua;inseto;0,3;4;F;F
752;Araquanid;verde;agua_1;inseto;agua;inseto;1,8;82;F;F
753;Fomantis;rosa;grama;;grama;;0,3;1,5;F;F
